h,k,l,i_mean,i_min,i_max,range,max_abs_rel_change_pct,x_px,y_px,radius_px,shell,group
0,-2,2,0.4233358756626627,0.009612713002895396,0.7567719287255864,0.7471592157226911,7477.163749971805,206.81028583494538,242.1102980197322,37.76649108931381,inner,high_variation
-1,2,2,0.011867371775923629,0.00013975472288096333,0.04401988815013315,0.04388013342725219,293.65657156850943,236.269787548623,288.61861939732916,40.057154998177744,inner,high_variation
1,-2,-2,0.008714156475875473,0.00012921931757611194,0.03809063628380299,0.03796141696622688,236.98945644974825,251.50530180394856,209.96647816791963,40.05701487579155,inner,high_variation
1,-3,-1,0.010662940897207264,0.0002751550564432382,0.026457671871833077,0.02618251681538984,231.96765146326635,232.96684121427197,206.37519799885217,44.28493140426132,inner,high_variation
1,-1,-3,0.005692635260688725,7.362105446900314e-05,0.016020953306302793,0.01594733225183379,99.11171517054306,270.04355959552885,213.5577190508351,44.284416667257446,inner,high_variation
-1,1,3,0.029403932292608514,0.00045992981009928305,0.07322381621240978,0.0727638864023105,837.3573573096957,217.73117877542927,285.0277568721928,44.28505602651794,mid_low,high_variation
0,-4,4,0.012860914561385082,0.00033080122110098987,0.035274290601530756,0.034943489380429765,804.0108795055589,169.73220244622206,234.92795889856177,75.53380848190359,mid_low,high_variation
-1,0,4,0.015794062929779248,0.0005706045177702034,0.054974939107305124,0.05440433458953492,802.0736500979714,199.19236719848104,281.4368550646911,55.05380031463513,mid_low,high_variation
0,-3,3,0.008435516263988386,1.977728918669772e-05,0.027202255565803947,0.02718247827661725,465.060479672832,188.27134554520626,238.51914810208214,56.650046496004315,mid_low,high_variation
-1,-1,5,0.00549176863894894,0.0001194766682398845,0.02225462996184291,0.022135153293603025,460.1337894785093,180.6533528144504,277.8459139741795,69.38200989569283,mid_low,high_variation
-3,15,-4,0.026639171718716423,4.3197736387607366e-05,0.05447018299715052,0.054426985260762915,23620.983969796755,398.90278322776817,392.69599555188915,211.17359760409587,mid_high,high_variation
-5,15,4,0.005770699083356156,0.00011183297360843404,0.020205029936932517,0.020093196963324084,8442.369093939098,309.4845666945547,457.0112349748407,217.83032093345358,mid_high,high_variation
-2,14,-7,0.003440348210559102,2.4210087294308382e-05,0.011525382511755623,0.011501172424461314,6520.050745842809,425.06662922915655,356.94795257985834,210.74998606845128,mid_high,high_variation
-6,12,11,0.0015931057256909221,2.5684017333351964e-05,0.008846274339484237,0.008820590322150886,4830.79028697035,209.13670729672359,478.3965825248898,231.7246456860742,mid_high,high_variation
-6,13,10,0.0019933823399019236,0.00012272174473742863,0.006342935328242167,0.006220213583504738,3423.1851519859392,227.68259312744405,481.9877873976777,233.25888401392237,mid_high,high_variation
-3,-6,17,0.013487048442848499,2.5619224260412944e-05,0.03274115514546797,0.03271553592120756,22977.40495482076,9.435326572409906,317.2658757878987,244.10700800328243,outer,high_variation
-5,2,17,0.0072682427947860775,6.874670589722503e-05,0.013790117132681067,0.013721370426783841,10832.417962222973,68.38373750341131,410.321832805387,238.184893462664,outer,high_variation
-6,8,15,0.0018308532082696447,1.5041913204914683e-05,0.006891047666689381,0.006876005753484466,4186.026640341172,134.95113431565116,464.031370012965,240.79023088392984,outer,high_variation
-6,9,14,0.0019397554489696983,1.993022914148684e-06,0.006379852993374897,0.006377859970460749,3731.856666642106,153.49783201631158,467.6227320953525,236.3015055885731,outer,high_variation
-6,10,13,0.0008914171783500569,1.1277077833331611e-05,0.004602944307506905,0.004591667229673573,2612.232451285351,172.04432674448918,471.2140548743723,233.26087385576358,outer,high_variation
-1,3,1,0.004553461900925005,0.00017825576824482913,0.013439185940113106,0.013260930171868277,97.8332989691923,254.80819352138997,292.20944264074484,44.28460186676777,inner,stable
0,2,-2,0.005438429236811426,0.0002326535381439157,0.01592123828943324,0.015688584751289324,97.87414882420947,280.9640189680086,256.4745048445222,37.76566481315531,inner,stable
1,-4,0,0.010056282431471116,0.00021755262108507772,0.025936025763085693,0.025718473142000615,318.0623273798067,214.42817782317132,202.78387854298796,55.053656462492214,inner,stable
2,5,-14,0.00013883445013390715,3.666872670150688e-06,0.0004453717550176219,0.0004417048823474712,205.51801038802705,437.00293277520893,195.99872199431485,200.33415239778245,mid_low,stable
-4,15,0,0.00040221598188971644,4.848208360156137e-06,0.0015850486619116734,0.0015802004535515172,317.1526003859479,354.19424245115414,424.85320708865333,207.33821049315318,mid_low,stable
1,-5,1,0.005859544904294688,0.0002951623572329702,0.018719293237167416,0.018424130879934445,361.9530598749893,195.8893116273188,199.19251979968237,69.38182519165966,mid_low,stable
4,-2,-15,0.00032777971858697697,4.157683642824982e-07,0.0011603799724449503,0.0011599642040806678,557.9726959507005,396.61163457992495,106.54171781750384,209.0512465183462,mid_low,stable
-1,12,-9,0.0005191696389893527,4.318195819891514e-05,0.001551392539620234,0.001508210581421319,649.2641429915368,432.6866116651632,317.6085691735002,200.77891001004758,mid_low,stable
4,-17,0,0.00019515890846453585,2.5684759302730986e-07,0.0006850373021074208,0.0006847804545143934,287.3216555482937,118.42838029368636,52.641117520911195,233.26329251647454,mid_high,stable
-4,16,-1,0.0007956863168915923,5.00266848333657e-05,0.002876841138279037,0.002826814453445671,1088.6274828958058,372.73855935462774,428.44455481558566,220.6763386972411,mid_high,stable
5,-15,-6,0.0004674877862307379,5.175389464524824e-06,0.0014753643396088892,0.0014701889501443643,1201.0579934270056,200.23598115707833,27.67378406794174,225.87675079011473,mid_high,stable
5,-8,-13,0.0004303559323884686,9.861080849705876e-06,0.0016924957328167105,0.0016826346519670046,1464.19215242317,330.05431394884727,52.8288603589377,214.52893434969607,mid_high,stable
-6,11,12,0.0008170978106484352,4.856729333637397e-06,0.005099906628750756,0.005095049899417119,2919.7286852095303,190.59061850351588,474.8053383506697,231.72529650683606,mid_high,stable
2,-16,7,0.0001293719006108976,2.442604284830263e-06,0.0004333769246652106,0.0004309343203803803,217.26335641101366,47.54326189452513,120.54665866497524,234.79047920302162,outer,stable
3,-17,4,0.00033665548692672945,1.271585155478268e-06,0.0009407551216847637,0.0009394835365292854,619.181783369904,73.71242308042088,84.79678592988137,236.68208616730382,outer,stable
-1,-11,14,0.0001384328384717192,5.072441072595429e-06,0.000617060516938172,0.0006119880758655766,644.767655222965,6.130426938529894,234.98501495125223,238.18723082210394,outer,stable
-4,-2,17,0.00019424854232705783,2.517291703845035e-06,0.0008547760549576008,0.0008522587632537557,667.4408805737136,38.909803038013365,363.7942820973845,234.7904229580177,outer,stable
5,-16,-5,0.0022646299088167465,5.446963511662088e-05,0.009435102553000937,0.009380632917884317,1201.6340820788173,181.68969320536908,24.08004442957838,233.64335111569622,outer,stable
3,2,-15,0.0007116953217821032,5.0551891752165794e-05,0.0018632426468785331,0.0018126907551263673,1029.4951246062312,426.07928769201254,153.0669090808401,206.0417114733947,mid_low,stable
1,8,-13,0.0004445195198329489,1.6319314216500957e-05,0.0016486125199151938,0.0016322932056986928,1340.716868211725,447.92649654513093,238.93021533256945,204.30189664235033,mid_low,stable
