hkl,h,k,l,n_t,i_min,i_max,i_mean,i_std,range,cv,max_abs_rel_change_pct,hkl_norm,mean_abs_int,shell,group
"(0, -2, 2)",0,-2,2,4,0.1240315141526848,0.6474871545447297,0.38064410916129426,0.21378161731638323,0.523455640392045,0.5616312249976141,422.0343869604482,2.8284271247461903,0.38064410916129426,inner_lowres,high_variation
"(-1, 0, 4)",-1,0,4,4,0.0008259266296117,0.037641332855679,0.01611870124671485,0.017620576018221208,0.0368154062260673,1.093175917123748,1327.6384727434654,4.123105625617661,0.01611870124671485,mid_lowres,high_variation
"(5, -7, -14)",5,-7,-14,4,0.0002573537325521,0.0084879824656328,0.0025956579754943497,0.003938915943136906,0.008230628733080699,1.5175019129347074,3198.177330268349,16.431676725154983,0.0025956579754943497,mid_highres,high_variation
"(1, -15, 10)",1,-15,10,4,3.460796098929156e-05,0.0025052267788735,0.001078989540141323,0.0010673189142001052,0.0024706188178842087,0.9891837450623578,7138.874256847062,18.05547008526779,0.001078989540141323,outer_highres,high_variation
"(-3, -6, 17)",-3,-6,17,4,0.0007456679992768,0.0232218606428598,0.011410412071888226,0.010688473010179637,0.022476192643583002,0.9367297993131005,3014.235915364741,18.275666882497067,0.011410412071888226,outer_highres,high_variation
"(-3, 15, -4)",-3,15,-4,4,0.0030386424257222,0.0425742582904374,0.019824534548465673,0.01843945434271337,0.0395356158647152,0.9301330277204666,1301.0947102576142,15.811388300841896,0.019824534548465673,mid_highres,high_variation
"(0, 1, -1)",0,1,-1,4,0.0242691560444734,0.0404849322808806,0.033361644261901524,0.006768269214695647,0.016215776236407197,0.20287576839924837,40.053855404533444,1.4142135623730951,0.033361644261901524,inner_lowres,stable
"(0, -3, 3)",0,-3,3,4,0.0026410396086375,0.019800742947229,0.009784777092784051,0.007337172068822999,0.0171597033385915,0.7498558218800835,199.4203478352781,4.242640687119285,0.009784777092784051,mid_lowres,stable
"(-6, 13, 10)",-6,13,10,4,0.0009596976954112,0.0024261427312126,0.001834398683464275,0.0006550229620029786,0.0014664450358014,0.3570777540932176,152.80280892756286,17.46424919657298,0.001834398683464275,mid_highres,stable
"(5, -16, -5)",5,-16,-5,4,0.0005310496163753,0.0064179179249773,0.0025747050171779752,0.0027228706269949244,0.005886868308602,1.0575466349847515,91.72551561763423,17.4928556845359,0.0025747050171779752,outer_highres,stable
"(1, -2, -2)",1,-2,-2,4,0.0026569983183309,0.0119864764459597,0.00639060223441105,0.0042459747622765835,0.0093294781276288,0.6644091756194066,63.817132019709966,3.0,0.00639060223441105,inner_lowres,stable
"(1, -3, -1)",1,-3,-1,4,0.0020477232174525,0.0097393653323496,0.0068466180971168255,0.003339750423595221,0.007691642114897101,0.4877956351912809,72.50549330684754,3.3166247903554,0.0068466180971168255,inner_lowres,stable
