thickness_nm,requested_thickness_A,actual_thickness_A,repetitions_z,npy_path,shape_y,shape_x,intensity_sum,intensity_max,orientation_mode,gxparm_path,frame_number,phi0_deg,dphi_deg,phi_deg,axis_x,axis_y,axis_z
100.0,1000.0,1001.0,13,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results/patterns/pattern_t100nm.npy,213,39,0.9686277481585579,0.3578895330429077,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
200.0,2000.0,2002.0,26,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results/patterns/pattern_t200nm.npy,213,39,0.9303166942785117,0.8064614534378052,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
350.0,3500.0,3542.0,46,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results/patterns/pattern_t350nm.npy,213,39,0.8505361595002644,0.3454878032207489,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
600.0,6000.0,6006.0,78,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results/patterns/pattern_t600nm.npy,213,39,0.7420744630603462,0.5553006529808044,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
