chunk_id,theta_deg,phi_deg,M,gmin_Ainv,r_mrad,inner_ring
event://139,11.95,269.98,0,inf,inf,0
event://143,164.91,91.96,0,inf,inf,0
event://145,162.42,89.59,0,inf,inf,0
event://140,167.53,90.25,1,50.6833,289.36,0
event://141,166.84,90.14,0,inf,inf,0
event://142,14.50,269.61,0,inf,inf,0
event://146,19.29,271.05,0,inf,inf,0
event://147,159.45,90.15,0,inf,inf,0
event://148,157.50,89.86,0,inf,inf,0
event://152,29.46,270.01,0,inf,inf,0
event://150,154.16,90.11,0,inf,inf,0
event://151,152.39,90.10,2,47.6633,272.12,0
event://149,155.86,89.89,0,inf,inf,0
event://153,148.80,90.03,0,inf,inf,0
event://154,147.12,90.12,0,inf,inf,0
event://156,36.43,269.69,0,inf,inf,0
event://157,38.35,269.81,0,inf,inf,0
event://155,145.30,90.10,0,inf,inf,0
event://158,40.18,270.27,0,inf,inf,0
event://159,42.16,269.74,0,inf,inf,0
event://160,43.88,270.14,0,inf,inf,0
event://161,165.98,90.00,1,46.7851,267.11,0
event://162,14.03,269.64,0,inf,inf,0
event://167,162.39,90.42,0,inf,inf,0
event://168,19.14,271.98,0,inf,inf,0
event://166,163.38,90.25,0,inf,inf,0
event://169,159.33,88.90,0,inf,inf,0
event://165,164.30,89.95,1,49.2529,281.20,0
event://164,165.21,90.32,0,inf,inf,0
event://163,165.72,89.86,0,inf,inf,0
event://170,21.76,269.97,0,inf,inf,0
event://171,156.61,90.27,0,inf,inf,0
event://172,25.11,269.93,1,49.9589,285.23,0
event://174,28.26,270.19,0,inf,inf,0
event://175,30.06,270.71,0,inf,inf,0
event://173,26.54,270.02,0,inf,inf,0
event://178,144.87,89.91,0,inf,inf,0
event://177,33.29,270.02,1,45.3879,259.13,0
event://180,141.16,90.08,0,inf,inf,0
event://179,36.78,269.89,0,inf,inf,0
event://176,31.57,270.05,0,inf,inf,0
event://181,139.36,89.96,0,inf,inf,0
event://182,137.55,90.00,0,inf,inf,0
event://183,135.88,90.09,0,inf,inf,0
event://184,15.69,270.03,0,inf,inf,0
event://189,161.69,89.79,0,inf,inf,0
event://190,160.69,88.78,0,inf,inf,0
event://191,159.27,91.07,0,inf,inf,0
event://186,163.82,90.36,0,inf,inf,0
event://188,17.35,270.65,0,inf,inf,0
event://187,16.46,270.17,0,inf,inf,0
event://185,164.18,89.74,0,inf,inf,0
event://192,21.84,270.00,0,inf,inf,0
event://193,23.90,270.68,0,inf,inf,0
event://194,25.03,270.65,0,inf,inf,0
event://195,26.11,270.02,0,inf,inf,0
event://197,150.83,89.91,0,inf,inf,0
event://196,152.59,89.64,0,inf,inf,0
event://198,30.55,269.74,1,48.8486,278.89,0
event://201,35.76,269.81,0,inf,inf,0
event://200,33.95,270.23,0,inf,inf,0
event://202,142.19,90.09,0,inf,inf,0
event://199,147.74,90.02,0,inf,inf,0
event://203,39.16,270.08,1,44.9975,256.90,0
event://204,138.99,89.95,1,47.8280,273.06,0
event://205,137.35,89.94,0,inf,inf,0
event://207,17.59,270.01,0,inf,inf,0
event://206,135.57,89.92,0,inf,inf,0
event://208,17.75,270.28,3,47.2895,269.99,0
event://212,160.04,90.31,1,50.4974,288.30,0
event://211,18.99,269.88,0,inf,inf,0
event://209,161.94,89.84,1,46.3529,264.64,0
event://210,161.43,89.99,0,inf,inf,0
event://216,155.61,90.72,1,46.5177,265.58,0
event://215,156.21,89.35,0,inf,inf,0
event://213,159.45,89.86,1,45.8990,262.05,0
event://214,21.74,270.02,0,inf,inf,0
event://217,24.92,271.68,0,inf,inf,0
event://218,152.97,90.15,0,inf,inf,0
event://219,28.59,270.33,0,inf,inf,0
event://220,29.85,269.97,0,inf,inf,0
event://223,145.23,90.50,0,inf,inf,0
event://222,32.87,269.87,0,inf,inf,0
event://224,36.26,270.25,0,inf,inf,0
event://221,31.51,269.90,0,inf,inf,0
event://225,37.88,270.11,0,inf,inf,0
event://226,39.79,269.86,0,inf,inf,0
event://227,41.34,269.93,1,43.4435,248.03,0
event://229,44.78,270.04,0,inf,inf,0
event://230,19.73,270.00,0,inf,inf,0
event://228,136.94,90.19,0,inf,inf,0
event://231,160.27,90.02,0,inf,inf,0
event://233,159.41,90.05,1,50.7750,289.89,0
event://232,19.95,270.01,0,inf,inf,0
event://234,159.00,90.00,0,inf,inf,0
event://236,157.50,90.02,0,inf,inf,0
event://239,155.08,88.40,1,45.1614,257.84,0
event://237,156.65,89.73,0,inf,inf,0
event://238,154.96,89.38,0,inf,inf,0
event://240,152.88,89.66,0,inf,inf,0
event://235,21.70,269.96,0,inf,inf,0
event://241,28.46,269.01,0,inf,inf,0
event://242,29.99,269.85,0,inf,inf,0
event://243,30.77,270.33,0,inf,inf,0
event://244,147.68,90.06,0,inf,inf,0
event://245,33.88,270.12,1,45.6039,260.36,0
event://246,144.79,89.88,0,inf,inf,0
event://247,37.06,269.68,0,inf,inf,0
event://248,38.46,269.91,1,49.6601,283.52,0
event://250,138.10,90.33,0,inf,inf,0
event://249,39.99,270.10,2,43.7263,249.64,0
event://253,21.45,270.03,0,inf,inf,0
event://252,134.82,89.85,1,46.3114,264.40,0
event://251,43.51,270.03,1,48.4421,276.57,0
event://254,158.23,90.01,1,46.7372,266.83,0
event://255,21.88,270.19,0,inf,inf,0
event://256,157.82,89.64,0,inf,inf,0
event://258,156.58,89.92,0,inf,inf,0
event://257,157.20,90.00,0,inf,inf,0
event://260,154.88,90.12,0,inf,inf,0
event://261,153.82,89.79,0,inf,inf,0
event://262,152.95,89.86,0,inf,inf,0
event://263,28.61,270.80,1,50.7486,289.74,0
event://259,24.16,270.17,0,inf,inf,0
event://264,30.30,270.46,1,50.7673,289.84,0
event://265,149.52,89.94,0,inf,inf,0
event://266,148.41,89.22,1,49.5258,282.75,0
event://267,146.84,90.01,0,inf,inf,0
event://268,34.44,270.11,0,inf,inf,0
event://269,143.86,89.93,0,inf,inf,0
event://271,39.13,269.96,0,inf,inf,0
event://270,37.53,269.95,0,inf,inf,0
event://273,137.67,90.06,0,inf,inf,0
event://272,40.70,269.90,0,inf,inf,0
event://274,43.98,269.86,0,inf,inf,0
event://276,156.39,90.11,0,inf,inf,0
event://275,45.58,269.99,0,inf,inf,0
event://278,23.74,269.99,0,inf,inf,0
event://277,23.63,270.22,0,inf,inf,0
event://280,24.68,269.94,0,inf,inf,0
event://279,155.75,89.87,0,inf,inf,0
event://282,25.83,269.91,1,49.7594,284.09,0
event://281,25.09,270.01,1,45.4660,259.58,0
event://283,26.56,269.96,1,49.3103,281.52,0
event://284,152.63,90.17,1,50.7827,289.93,0
event://287,30.56,270.35,0,inf,inf,0
event://286,149.98,90.32,0,inf,inf,0
event://285,28.60,269.69,0,inf,inf,0
event://288,32.18,269.93,0,inf,inf,0
event://289,146.65,90.46,0,inf,inf,0
event://290,34.50,269.90,1,44.6740,255.05,0
event://291,35.12,269.72,0,inf,inf,0
event://292,142.95,89.99,0,inf,inf,0
event://294,39.89,270.04,0,inf,inf,0
event://296,43.10,269.80,1,47.0104,268.39,0
event://293,141.63,90.07,1,50.7357,289.66,0
event://297,44.39,270.08,0,inf,inf,0
event://295,41.37,270.03,1,44.0631,251.57,0
event://298,45.98,269.91,0,inf,inf,0
event://299,154.40,89.95,0,inf,inf,0
event://301,25.83,269.97,0,inf,inf,0
event://300,154.17,90.05,0,inf,inf,0
event://302,26.32,269.96,0,inf,inf,0
event://304,26.97,269.99,1,49.5416,282.84,0
event://306,28.28,269.81,0,inf,inf,0
event://307,29.15,269.99,0,inf,inf,0
event://303,26.52,270.00,0,inf,inf,0
event://305,27.60,269.86,0,inf,inf,0
event://308,150.20,90.22,1,45.0856,257.40,0
event://309,30.74,269.63,0,inf,inf,0
event://310,31.59,270.78,0,inf,inf,0
event://312,35.45,270.08,0,inf,inf,0
event://313,35.31,269.50,0,inf,inf,0
event://311,33.35,269.29,0,inf,inf,0
event://314,36.50,270.53,0,inf,inf,0
event://315,142.12,89.75,0,inf,inf,0
event://316,39.20,270.17,0,inf,inf,0
event://320,135.07,89.85,0,inf,inf,0
event://317,139.47,89.95,0,inf,inf,0
event://319,43.57,270.02,1,46.2235,263.90,0
event://318,42.04,270.03,0,inf,inf,0
event://321,133.59,90.00,0,inf,inf,0
event://322,152.65,90.02,0,inf,inf,0
event://323,27.57,269.91,0,inf,inf,0
event://327,28.88,269.95,0,inf,inf,0
event://324,27.76,269.80,0,inf,inf,0
event://328,150.54,90.13,0,inf,inf,0
event://326,28.28,270.15,0,inf,inf,0
event://329,149.92,89.37,0,inf,inf,0
event://330,149.36,90.24,0,inf,inf,0
event://325,151.99,90.09,0,inf,inf,0
event://336,37.48,270.06,0,inf,inf,0
event://335,144.62,90.42,0,inf,inf,0
event://332,32.35,269.98,0,inf,inf,0
event://331,31.50,270.11,0,inf,inf,0
event://337,37.40,269.35,1,44.9781,256.79,0
event://334,145.49,90.10,0,inf,inf,0
event://333,146.89,89.88,0,inf,inf,0
